filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
HLS,HLS,9/15/2014,3481355,373429,9.322669
HLS,HLS,8/29/2014,3458581,381311,9.070237
HLS,HLS,8/15/2014,3420658,427136,8.008358
HLS,HLS,7/31/2014,3733977,589051,6.338971
HLS,HLS,7/15/2014,3808206,278676,13.665353
HLS,HLS,6/30/2014,3870599,380157,10.181580
HLS,HLS,6/13/2014,3877752,390039,9.941960
HLS,HLS,5/30/2014,3894241,509121,7.648950
HLS,HLS,5/15/2014,4132089,508927,8.119217
HLS,HLS,4/30/2014,4284618,567903,7.544630
HLS,HLS,4/15/2014,4391434,448105,9.800011
HLS,HLS,3/31/2014,4189991,673642,6.219908
HLS,HLS,3/14/2014,4356538,531316,8.199523
HLS,HLS,2/28/2014,4508533,540407,8.342847
HLS,HLS,2/14/2014,4754413,605108,7.857131
HLS,HLS,1/31/2014,5186306,570462,9.091414
HLS,HLS,1/15/2014,4675409,712139,6.565304
HLS,HLS,12/31/2013,4457336,615548,7.241248
HLS,HLS,12/13/2013,4558111,511095,8.918324
HLS,HLS,11/29/2013,4507168,339683,13.268748
HLS,HLS,11/15/2013,4766894,679902,7.011149
HLS,HLS,10/31/2013,4810901,689341,6.978986
HLS,HLS,10/15/2013,5472770,405527,13.495452
