filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
IMMR,IMMR,9/15/2014,1203321,661075,1.820249
IMMR,IMMR,8/29/2014,1115425,159863,6.977381
IMMR,IMMR,8/15/2014,1062957,360826,2.945899
IMMR,IMMR,7/31/2014,959966,193426,4.962963
IMMR,IMMR,7/15/2014,998630,339394,2.942391
IMMR,IMMR,6/30/2014,829026,196597,4.216880
IMMR,IMMR,6/13/2014,820124,139975,5.859075
IMMR,IMMR,5/30/2014,872035,127889,6.818687
IMMR,IMMR,5/15/2014,787945,217531,3.622219
IMMR,IMMR,4/30/2014,1027938,253932,4.048084
IMMR,IMMR,4/15/2014,971115,292555,3.319427
IMMR,IMMR,3/31/2014,792898,185187,4.281607
IMMR,IMMR,3/14/2014,757994,272463,2.782007
IMMR,IMMR,2/28/2014,484885,268471,1.806098
IMMR,IMMR,2/14/2014,417605,154311,2.706256
IMMR,IMMR,1/31/2014,356733,163300,2.184525
IMMR,IMMR,1/15/2014,365898,226079,1.618452
IMMR,IMMR,12/31/2013,383801,156337,2.454959
IMMR,IMMR,12/13/2013,346503,176451,1.963735
IMMR,IMMR,11/29/2013,396858,135071,2.938144
IMMR,IMMR,11/15/2013,405484,325463,1.245868
IMMR,IMMR,10/31/2013,417264,176799,2.360104
IMMR,IMMR,10/15/2013,485504,222848,2.178633
