filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
INVN,INVN,9/15/2014,24974792,3154945,7.916078
INVN,INVN,8/29/2014,25399112,1937595,13.108576
INVN,INVN,8/15/2014,26179788,2264663,11.560125
INVN,INVN,7/31/2014,26356790,4192938,6.285996
INVN,INVN,7/15/2014,25123971,2890722,8.691244
INVN,INVN,6/30/2014,24403404,1929826,12.645391
INVN,INVN,6/13/2014,24967015,1646925,15.159777
INVN,INVN,5/30/2014,25756119,1477582,17.431262
INVN,INVN,5/15/2014,26203962,3213543,8.154228
INVN,INVN,4/30/2014,25813101,1884380,13.698458
INVN,INVN,4/15/2014,25931774,2458958,10.545839
INVN,INVN,3/31/2014,24968172,2726355,9.158078
INVN,INVN,3/14/2014,25220015,3061855,8.236842
INVN,INVN,2/28/2014,24938525,2364495,10.547083
INVN,INVN,2/14/2014,26521447,2793570,9.493747
INVN,INVN,1/31/2014,25098997,3362845,7.463620
INVN,INVN,1/15/2014,27120350,2852020,9.509172
INVN,INVN,12/31/2013,26183580,2196416,11.921048
INVN,INVN,12/13/2013,26583435,1895102,14.027443
INVN,INVN,11/29/2013,26050351,1281576,20.326809
INVN,INVN,11/15/2013,24529998,2485195,9.870452
INVN,INVN,10/31/2013,22938026,3787125,6.056844
INVN,INVN,10/15/2013,22740402,2488153,9.139471
