filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
LO,LO,9/15/2014,8344245,1788827,4.664646
LO,LO,8/29/2014,9528159,2467991,3.860694
LO,LO,8/15/2014,9810124,2222382,4.414238
LO,LO,7/31/2014,10240042,4956663,2.065915
LO,LO,7/15/2014,10714210,6992920,1.532151
LO,LO,6/30/2014,11216121,2438535,4.599533
LO,LO,6/13/2014,11082912,2330240,4.756125
LO,LO,5/30/2014,11396927,4325856,2.634606
LO,LO,5/15/2014,13424051,3104792,4.323655
LO,LO,4/30/2014,13668497,3600402,3.796381
LO,LO,4/15/2014,13618828,2278376,5.977428
LO,LO,3/31/2014,14476786,2351930,6.155279
LO,LO,3/14/2014,15546483,7123414,2.182448
LO,LO,2/28/2014,19251237,3478956,5.533625
LO,LO,2/14/2014,19181674,4332369,4.427525
LO,LO,1/31/2014,18404319,3325353,5.534546
LO,LO,1/15/2014,18350983,3052168,6.012442
LO,LO,12/31/2013,17915039,3444727,5.200714
LO,LO,12/13/2013,23101148,2596595,8.896708
LO,LO,11/29/2013,21076950,3801783,5.543965
LO,LO,11/15/2013,21603201,2598748,8.312926
LO,LO,10/31/2013,22508151,2865740,7.854220
LO,LO,10/15/2013,20584440,2572883,8.000535
