filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MCBC,MCBC,9/15/2014,916004,34482,26.564700
MCBC,MCBC,8/29/2014,872786,55212,15.807904
MCBC,MCBC,8/15/2014,844368,51652,16.347247
MCBC,MCBC,7/31/2014,1035486,48091,21.531804
MCBC,MCBC,7/15/2014,834111,86883,9.600394
MCBC,MCBC,6/30/2014,1016716,91777,11.078113
MCBC,MCBC,6/13/2014,1114868,56667,19.674025
MCBC,MCBC,5/30/2014,1181647,54112,21.837060
MCBC,MCBC,5/15/2014,1260221,83857,15.028215
MCBC,MCBC,4/30/2014,1340945,55785,24.037734
MCBC,MCBC,4/15/2014,1373130,64122,21.414335
MCBC,MCBC,3/31/2014,1353803,52610,25.732807
MCBC,MCBC,3/14/2014,1352365,95673,14.135284
MCBC,MCBC,2/28/2014,1347580,56009,24.060062
MCBC,MCBC,2/14/2014,1307697,54745,23.887058
MCBC,MCBC,1/31/2014,1397806,90803,15.393831
MCBC,MCBC,1/15/2014,1092645,55618,19.645528
MCBC,MCBC,12/31/2013,1142198,48016,23.787862
MCBC,MCBC,12/13/2013,1209232,44229,27.340252
MCBC,MCBC,11/29/2013,1257410,36899,34.077075
MCBC,MCBC,11/15/2013,1240227,63156,19.637517
MCBC,MCBC,10/31/2013,1306402,51021,25.605182
MCBC,MCBC,10/15/2013,1397980,47621,29.356376
