filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MJN,MJN,9/15/2014,3080442,1468535,2.097629
MJN,MJN,8/29/2014,3128127,748171,4.181032
MJN,MJN,8/15/2014,3569029,1060808,3.364444
MJN,MJN,7/31/2014,3184499,1536231,2.072930
MJN,MJN,7/15/2014,3433473,1008163,3.405672
MJN,MJN,6/30/2014,3498352,1589718,2.200612
MJN,MJN,6/13/2014,2621580,969300,2.704612
MJN,MJN,5/30/2014,2680565,937711,2.858626
MJN,MJN,5/15/2014,2976770,1033160,2.881228
MJN,MJN,4/30/2014,3299647,1784811,1.848737
MJN,MJN,4/15/2014,3210168,1859169,1.726668
MJN,MJN,3/31/2014,3531279,1181793,2.988069
MJN,MJN,3/14/2014,3216049,1529314,2.102936
MJN,MJN,2/28/2014,3413770,2537030,1.345577
MJN,MJN,2/14/2014,3559088,2827702,1.258650
MJN,MJN,1/31/2014,3854616,2411843,1.598204
MJN,MJN,1/15/2014,3756222,1232619,3.047350
MJN,MJN,12/31/2013,2947097,1265080,2.329574
MJN,MJN,12/13/2013,3394711,1315986,2.579595
MJN,MJN,11/29/2013,3669666,1367486,2.683513
MJN,MJN,11/15/2013,3570746,1590773,2.244661
MJN,MJN,10/31/2013,3379611,2056237,1.643590
MJN,MJN,10/15/2013,2936073,1424175,2.061596
