filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MTDR,MTDR,9/15/2014,4951411,1000988,4.946524
MTDR,MTDR,8/29/2014,4955885,551331,8.988947
MTDR,MTDR,8/15/2014,5199588,894172,5.814975
MTDR,MTDR,7/31/2014,4499756,757321,5.941676
MTDR,MTDR,7/15/2014,4305696,795127,5.415105
MTDR,MTDR,6/30/2014,4192603,1010850,4.147602
MTDR,MTDR,6/13/2014,4240520,1044441,4.060086
MTDR,MTDR,5/30/2014,4139394,1683134,2.459337
MTDR,MTDR,5/15/2014,4156555,1234739,3.366343
MTDR,MTDR,4/30/2014,3795898,1214298,3.126002
MTDR,MTDR,4/15/2014,3576090,940766,3.801253
MTDR,MTDR,3/31/2014,3431985,918260,3.737487
MTDR,MTDR,3/14/2014,3280717,959585,3.418891
MTDR,MTDR,2/28/2014,3480465,824001,4.223860
MTDR,MTDR,2/14/2014,3489209,761695,4.580848
MTDR,MTDR,1/31/2014,3362815,522051,6.441545
MTDR,MTDR,1/15/2014,2963721,818920,3.619060
MTDR,MTDR,12/31/2013,3557357,830199,4.284945
MTDR,MTDR,12/13/2013,3688162,1009159,3.654689
MTDR,MTDR,11/29/2013,4059597,833777,4.868924
MTDR,MTDR,11/15/2013,4123430,1362113,3.027230
MTDR,MTDR,10/31/2013,3845724,1085893,3.541531
MTDR,MTDR,10/15/2013,3674614,799877,4.593974
