filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MXIM,MXIM,9/15/2014,6224981,2195947,2.834759
MXIM,MXIM,8/29/2014,6341515,1637500,3.872681
MXIM,MXIM,8/15/2014,7487002,2302546,3.251619
MXIM,MXIM,7/31/2014,6232695,3588190,1.737002
MXIM,MXIM,7/15/2014,4827125,1480848,3.259703
MXIM,MXIM,6/30/2014,4440098,1955083,2.271053
MXIM,MXIM,6/13/2014,5041172,2216211,2.274681
MXIM,MXIM,5/30/2014,4636417,3174986,1.460295
MXIM,MXIM,5/15/2014,4491017,2437433,1.842519
MXIM,MXIM,4/30/2014,3539977,2477325,1.428951
MXIM,MXIM,4/15/2014,5123783,2657209,1.928257
MXIM,MXIM,3/31/2014,5010001,2492713,2.009859
MXIM,MXIM,3/14/2014,5981825,2433130,2.458490
MXIM,MXIM,2/28/2014,5911691,2976682,1.986000
MXIM,MXIM,2/14/2014,7535673,2779251,2.711404
MXIM,MXIM,1/31/2014,7980396,4615277,1.729126
MXIM,MXIM,1/15/2014,6993492,3663680,1.908871
MXIM,MXIM,12/31/2013,5275033,2881230,1.830827
MXIM,MXIM,12/13/2013,3962701,2222818,1.782737
MXIM,MXIM,11/29/2013,3932408,2485176,1.582346
MXIM,MXIM,11/15/2013,4032842,4091656,1.000000
MXIM,MXIM,10/31/2013,5696778,3261376,1.746741
MXIM,MXIM,10/15/2013,5712707,2501456,2.283753
