filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NBTB,NBTB,9/15/2014,1103085,56064,19.675460
NBTB,NBTB,8/29/2014,1093575,61197,17.869749
NBTB,NBTB,8/15/2014,1015832,72666,13.979468
NBTB,NBTB,7/31/2014,1037722,82674,12.551975
NBTB,NBTB,7/15/2014,1032758,79477,12.994426
NBTB,NBTB,6/30/2014,1127522,130834,8.617959
NBTB,NBTB,6/13/2014,1106904,74651,14.827718
NBTB,NBTB,5/30/2014,1111930,112247,9.906100
NBTB,NBTB,5/15/2014,1147059,114797,9.992064
NBTB,NBTB,4/30/2014,1049637,76977,13.635722
NBTB,NBTB,4/15/2014,1078858,125573,8.591481
NBTB,NBTB,3/31/2014,910128,121055,7.518302
NBTB,NBTB,3/14/2014,891932,85412,10.442701
NBTB,NBTB,2/28/2014,894272,128070,6.982681
NBTB,NBTB,2/14/2014,859152,108961,7.884950
NBTB,NBTB,1/31/2014,769639,125232,6.145706
NBTB,NBTB,1/15/2014,720531,76837,9.377396
NBTB,NBTB,12/31/2013,737729,131131,5.625893
NBTB,NBTB,12/13/2013,749371,91963,8.148614
NBTB,NBTB,11/29/2013,765275,97506,7.848491
NBTB,NBTB,11/15/2013,854965,141430,6.045146
NBTB,NBTB,10/31/2013,982485,120333,8.164718
NBTB,NBTB,10/15/2013,925152,83501,11.079532
