filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NL,NL,9/15/2014,211841,10227,20.713895
NL,NL,8/29/2014,208350,15178,13.727105
NL,NL,8/15/2014,212211,14295,14.845121
NL,NL,7/31/2014,206147,15254,13.514291
NL,NL,7/15/2014,203109,35876,5.661417
NL,NL,6/30/2014,182636,24475,7.462145
NL,NL,6/13/2014,184443,13177,13.997344
NL,NL,5/30/2014,183823,22819,8.055699
NL,NL,5/15/2014,186185,25391,7.332716
NL,NL,4/30/2014,175968,17630,9.981168
NL,NL,4/15/2014,169893,20137,8.436858
NL,NL,3/31/2014,158651,16419,9.662647
NL,NL,3/14/2014,155171,16581,9.358362
NL,NL,2/28/2014,144564,18522,7.804989
NL,NL,2/14/2014,157894,30601,5.159766
NL,NL,1/31/2014,134591,27946,4.816110
NL,NL,1/15/2014,116889,41092,2.844568
NL,NL,12/31/2013,105827,44448,2.380917
NL,NL,12/13/2013,100079,28795,3.475569
NL,NL,11/29/2013,103513,16962,6.102641
NL,NL,11/15/2013,106253,16377,6.487940
NL,NL,10/31/2013,136240,14934,9.122807
NL,NL,10/15/2013,141261,9381,15.058203
