filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NMIH,NMIH,9/15/2014,2599375,176318,14.742539
NMIH,NMIH,8/29/2014,2560132,88935,28.786552
NMIH,NMIH,8/15/2014,2772410,178432,15.537628
NMIH,NMIH,7/31/2014,2986879,248833,12.003549
NMIH,NMIH,7/15/2014,2861140,358232,7.986835
NMIH,NMIH,6/30/2014,966190,997312,1.000000
NMIH,NMIH,6/13/2014,855825,243718,3.511538
NMIH,NMIH,5/30/2014,1064580,104393,10.197810
NMIH,NMIH,5/15/2014,1020929,118762,8.596428
NMIH,NMIH,4/30/2014,1162403,120105,9.678223
NMIH,NMIH,4/15/2014,1002836,173137,5.792153
NMIH,NMIH,3/31/2014,949391,237709,3.993921
NMIH,NMIH,3/14/2014,783507,319423,2.452882
NMIH,NMIH,2/28/2014,518175,112342,4.612478
NMIH,NMIH,2/14/2014,429690,32496,13.222858
NMIH,NMIH,1/31/2014,1092433,45419,24.052335
NMIH,NMIH,1/15/2014,1065770,224046,4.756925
NMIH,NMIH,12/31/2013,789577,428462,1.842817
NMIH,NMIH,12/13/2013,849058,167730,5.062052
NMIH,NMIH,11/29/2013,445196,45165,9.857102
NMIH,NMIH,11/15/2013,148458,188577,1.000000
