filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PCG,PCG,9/15/2014,12995694,2933959,4.429405
PCG,PCG,8/29/2014,12878003,1638755,7.858407
PCG,PCG,8/15/2014,13534880,2905225,4.658806
PCG,PCG,7/31/2014,13491288,2155972,6.257636
PCG,PCG,7/15/2014,13475693,2596346,5.190253
PCG,PCG,6/30/2014,14923301,3002369,4.970509
PCG,PCG,6/13/2014,16765402,2429155,6.901742
PCG,PCG,5/30/2014,13397499,3238458,4.136999
PCG,PCG,5/15/2014,10401896,3300327,3.151777
PCG,PCG,4/30/2014,6968232,1833482,3.800546
PCG,PCG,4/15/2014,8071638,3677956,2.194599
PCG,PCG,3/31/2014,7134544,4100737,1.739820
PCG,PCG,3/14/2014,6504790,2859528,2.274778
PCG,PCG,2/28/2014,6726281,2643053,2.544891
PCG,PCG,2/14/2014,6475977,2837696,2.282125
PCG,PCG,1/31/2014,6209903,3070175,2.022654
PCG,PCG,1/15/2014,8148437,2509774,3.246682
PCG,PCG,12/31/2013,7410698,2953879,2.508802
PCG,PCG,12/13/2013,6062223,2847901,2.128664
PCG,PCG,11/29/2013,5929826,2629618,2.255014
PCG,PCG,11/15/2013,5394894,3091308,1.745182
PCG,PCG,10/31/2013,4580688,2165389,2.115411
PCG,PCG,10/15/2013,4933827,2424210,2.035231
