filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
RRD,RRD,9/15/2014,20433406,1270031,16.088903
RRD,RRD,8/29/2014,20291750,1160539,17.484764
RRD,RRD,8/15/2014,20236454,2213214,9.143469
RRD,RRD,7/31/2014,21366077,2044634,10.449830
RRD,RRD,7/15/2014,20865942,1845405,11.306972
RRD,RRD,6/30/2014,19369307,2237221,8.657753
RRD,RRD,6/13/2014,17520867,2034858,8.610363
RRD,RRD,5/30/2014,16181231,2084423,7.762931
RRD,RRD,5/15/2014,15718667,3051678,5.150828
RRD,RRD,4/30/2014,14496447,1472167,9.847013
RRD,RRD,4/15/2014,13091389,1680036,7.792326
RRD,RRD,3/31/2014,12490727,1951404,6.400892
RRD,RRD,3/14/2014,11717299,2019770,5.801304
RRD,RRD,2/28/2014,11487090,2680867,4.284841
RRD,RRD,2/14/2014,14659040,2981520,4.916633
RRD,RRD,1/31/2014,17635214,1688760,10.442700
RRD,RRD,1/15/2014,16863497,1550653,10.875094
RRD,RRD,12/31/2013,16645283,3196505,5.207338
RRD,RRD,12/13/2013,17528789,2055955,8.525862
RRD,RRD,11/29/2013,19098943,2002774,9.536245
RRD,RRD,11/15/2013,19391602,2475956,7.831966
RRD,RRD,10/31/2013,21536113,2275950,9.462472
RRD,RRD,10/15/2013,23424147,1908115,12.276067
