filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SAIC,SAIC,9/15/2014,1568583,296500,5.290331
SAIC,SAIC,8/29/2014,1468896,194935,7.535312
SAIC,SAIC,8/15/2014,1713789,245406,6.983485
SAIC,SAIC,7/31/2014,2599784,315531,8.239393
SAIC,SAIC,7/15/2014,2991329,340468,8.785933
SAIC,SAIC,6/30/2014,2063149,607236,3.397607
SAIC,SAIC,6/13/2014,1869262,416509,4.487927
SAIC,SAIC,5/30/2014,1767459,164895,10.718694
SAIC,SAIC,5/15/2014,1741434,192837,9.030601
SAIC,SAIC,4/30/2014,1846770,202986,9.098017
SAIC,SAIC,4/15/2014,1742601,384103,4.536807
SAIC,SAIC,3/31/2014,1694710,193546,8.756110
SAIC,SAIC,3/14/2014,1698827,255033,6.661205
SAIC,SAIC,2/28/2014,1931875,133788,14.439823
SAIC,SAIC,2/14/2014,2070567,215398,9.612749
SAIC,SAIC,1/31/2014,2240076,298939,7.493422
SAIC,SAIC,1/15/2014,2220224,368407,6.026552
SAIC,SAIC,12/31/2013,2093479,538216,3.889663
SAIC,SAIC,12/13/2013,2738945,580140,4.721179
SAIC,SAIC,11/29/2013,2771553,198117,13.989476
SAIC,SAIC,11/15/2013,2834368,236351,11.992198
SAIC,SAIC,10/31/2013,3041835,254309,11.961177
SAIC,SAIC,10/15/2013,3446547,708684,4.863306
