filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SJW,SJW,9/15/2014,439057,34201,12.837549
SJW,SJW,8/29/2014,367236,42673,8.605816
SJW,SJW,8/15/2014,337135,34719,9.710389
SJW,SJW,7/31/2014,325051,39751,8.177178
SJW,SJW,7/15/2014,296227,34392,8.613253
SJW,SJW,6/30/2014,326900,58157,5.620991
SJW,SJW,6/13/2014,313130,38488,8.135783
SJW,SJW,5/30/2014,313250,46708,6.706560
SJW,SJW,5/15/2014,331021,76734,4.313877
SJW,SJW,4/30/2014,299446,37944,7.891788
SJW,SJW,4/15/2014,274659,32644,8.413767
SJW,SJW,3/31/2014,257114,49403,5.204421
SJW,SJW,3/14/2014,267490,39932,6.698638
SJW,SJW,2/28/2014,245029,46510,5.268308
SJW,SJW,2/14/2014,255248,39023,6.540963
SJW,SJW,1/31/2014,204635,32687,6.260440
SJW,SJW,1/15/2014,189757,37123,5.111575
SJW,SJW,12/31/2013,191023,41286,4.626823
SJW,SJW,12/13/2013,192991,28986,6.658076
SJW,SJW,11/29/2013,210914,29419,7.169312
SJW,SJW,11/15/2013,212004,32227,6.578459
SJW,SJW,10/31/2013,274638,40615,6.761984
SJW,SJW,10/15/2013,292458,30495,9.590359
