filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
STMP,STMP,9/15/2014,488700,68724,7.111053
STMP,STMP,8/29/2014,455974,67828,6.722504
STMP,STMP,8/15/2014,417493,110324,3.784245
STMP,STMP,7/31/2014,412896,104361,3.956421
STMP,STMP,7/15/2014,395382,97588,4.051543
STMP,STMP,6/30/2014,473157,115722,4.088739
STMP,STMP,6/13/2014,464299,105522,4.400021
STMP,STMP,5/30/2014,464635,126243,3.680481
STMP,STMP,5/15/2014,523931,312080,1.678836
STMP,STMP,4/30/2014,494612,132976,3.719558
STMP,STMP,4/15/2014,548472,105369,5.205250
STMP,STMP,3/31/2014,487650,124887,3.904730
STMP,STMP,3/14/2014,445770,145795,3.057512
STMP,STMP,2/28/2014,392664,284313,1.381098
STMP,STMP,2/14/2014,1008824,305393,3.303363
STMP,STMP,1/31/2014,1065684,229525,4.642997
STMP,STMP,1/15/2014,394013,178042,2.213034
STMP,STMP,12/31/2013,390504,184216,2.119816
STMP,STMP,12/13/2013,317360,167688,1.892562
STMP,STMP,11/29/2013,198214,115100,1.722103
STMP,STMP,11/15/2013,230151,103011,2.234237
STMP,STMP,10/31/2013,239897,179344,1.337636
STMP,STMP,10/15/2013,229981,98528,2.334169
