filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TAL,TAL,9/15/2014,3160029,331090,9.544320
TAL,TAL,8/29/2014,3069902,331692,9.255279
TAL,TAL,8/15/2014,2942717,259916,11.321800
TAL,TAL,7/31/2014,3091752,429193,7.203640
TAL,TAL,7/15/2014,3085553,189269,16.302474
TAL,TAL,6/30/2014,3170851,218540,14.509248
TAL,TAL,6/13/2014,3257825,262349,12.417905
TAL,TAL,5/30/2014,3513982,350558,10.023968
TAL,TAL,5/15/2014,3328112,369355,9.010605
TAL,TAL,4/30/2014,3426265,580733,5.899897
TAL,TAL,4/15/2014,3640844,465784,7.816593
TAL,TAL,3/31/2014,3877718,423210,9.162633
TAL,TAL,3/14/2014,3511951,637037,5.512947
TAL,TAL,2/28/2014,3961027,738599,5.362892
TAL,TAL,2/14/2014,3632583,680512,5.338015
TAL,TAL,1/31/2014,3741039,524538,7.132065
TAL,TAL,1/15/2014,4042577,1090701,3.706403
TAL,TAL,12/31/2013,4589455,336632,13.633448
TAL,TAL,12/13/2013,4821765,482583,9.991577
TAL,TAL,11/29/2013,5459150,450846,12.108680
TAL,TAL,11/15/2013,5422745,388434,13.960531
TAL,TAL,10/31/2013,5430545,374086,14.516836
TAL,TAL,10/15/2013,5237677,263663,19.865044
