filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TBI,TBI,9/15/2014,668499,127621,5.238158
TBI,TBI,8/29/2014,636537,159098,4.000911
TBI,TBI,8/15/2014,606908,201953,3.005194
TBI,TBI,7/31/2014,765169,292297,2.617779
TBI,TBI,7/15/2014,759039,277120,2.739026
TBI,TBI,6/30/2014,692881,169114,4.097124
TBI,TBI,6/13/2014,686130,195503,3.509563
TBI,TBI,5/30/2014,652901,237964,2.743697
TBI,TBI,5/15/2014,714689,222225,3.216060
TBI,TBI,4/30/2014,667295,277379,2.405716
TBI,TBI,4/15/2014,737609,272465,2.707170
TBI,TBI,3/31/2014,610483,243134,2.510891
TBI,TBI,3/14/2014,509463,195589,2.604763
TBI,TBI,2/28/2014,463970,206857,2.242950
TBI,TBI,2/14/2014,560920,430945,1.301605
TBI,TBI,1/31/2014,667073,192883,3.458433
TBI,TBI,1/15/2014,618805,208526,2.967520
TBI,TBI,12/31/2013,499172,201689,2.474959
TBI,TBI,12/13/2013,505867,292742,1.728030
TBI,TBI,11/29/2013,607204,161759,3.753757
TBI,TBI,11/15/2013,614729,152184,4.039380
TBI,TBI,10/31/2013,719077,200683,3.583149
TBI,TBI,10/15/2013,692214,165629,4.179304
