filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TDG,TDG,9/15/2014,2457936,317442,7.742945
TDG,TDG,8/29/2014,2492790,329080,7.575027
TDG,TDG,8/15/2014,2261616,467579,4.836864
TDG,TDG,7/31/2014,1881333,340148,5.530925
TDG,TDG,7/15/2014,1748010,415785,4.204120
TDG,TDG,6/30/2014,1996598,435345,4.586243
TDG,TDG,6/13/2014,1690314,707096,2.390501
TDG,TDG,5/30/2014,1555060,468719,3.317681
TDG,TDG,5/15/2014,1595906,511416,3.120563
TDG,TDG,4/30/2014,1789461,279318,6.406537
TDG,TDG,4/15/2014,1726495,336380,5.132573
TDG,TDG,3/31/2014,1780743,722250,2.465549
TDG,TDG,3/14/2014,1606549,401613,4.000242
TDG,TDG,2/28/2014,1595300,205231,7.773192
TDG,TDG,2/14/2014,1604980,610043,2.630929
TDG,TDG,1/31/2014,1591521,376209,4.230417
TDG,TDG,1/15/2014,1645474,375614,4.380758
TDG,TDG,12/31/2013,1567398,278514,5.627717
TDG,TDG,12/13/2013,1625477,379055,4.288235
TDG,TDG,11/29/2013,1243238,512595,2.425381
TDG,TDG,11/15/2013,1373762,391008,3.513386
TDG,TDG,10/31/2013,1482851,576334,2.572902
TDG,TDG,10/15/2013,1491556,530099,2.813731
