filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TMO,TMO,9/15/2014,3163495,1546649,2.045387
TMO,TMO,8/29/2014,3640606,1186676,3.067902
TMO,TMO,8/15/2014,3917954,1232635,3.178519
TMO,TMO,7/31/2014,3578207,2352688,1.520902
TMO,TMO,7/15/2014,4021154,1814358,2.216296
TMO,TMO,6/30/2014,4757611,2021625,2.353360
TMO,TMO,6/13/2014,4888322,1462403,3.342664
TMO,TMO,5/30/2014,4327791,2023602,2.138657
TMO,TMO,5/15/2014,4335392,1547137,2.802203
TMO,TMO,4/30/2014,4619122,2732418,1.690489
TMO,TMO,4/15/2014,4182098,2136276,1.957658
TMO,TMO,3/31/2014,4302055,2185412,1.968533
TMO,TMO,3/14/2014,4213258,2070665,2.034737
TMO,TMO,2/28/2014,4597279,2813500,1.634007
TMO,TMO,2/14/2014,4194066,3917345,1.070640
TMO,TMO,1/31/2014,2659419,2907628,1.000000
TMO,TMO,1/15/2014,4121527,1999404,2.061378
TMO,TMO,12/31/2013,34115051,1620828,21.047916
TMO,TMO,12/13/2013,32582052,1390788,23.427044
TMO,TMO,11/29/2013,32665179,1203294,27.146465
TMO,TMO,11/15/2013,32466192,1444827,22.470643
TMO,TMO,10/31/2013,32654880,1738876,18.779303
TMO,TMO,10/15/2013,32321863,1458792,22.156595
