filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TREE,TREE,9/15/2014,373420,74652,5.002143
TREE,TREE,8/29/2014,371153,150479,2.466477
TREE,TREE,8/15/2014,324831,102057,3.182839
TREE,TREE,7/31/2014,355722,108919,3.265932
TREE,TREE,7/15/2014,402481,119273,3.374452
TREE,TREE,6/30/2014,384354,203074,1.892680
TREE,TREE,6/13/2014,317207,56479,5.616371
TREE,TREE,5/30/2014,297626,74770,3.980554
TREE,TREE,5/15/2014,284779,111434,2.555584
TREE,TREE,4/30/2014,283482,76685,3.696707
TREE,TREE,4/15/2014,269259,67791,3.971899
TREE,TREE,3/31/2014,227719,97719,2.330345
TREE,TREE,3/14/2014,251829,110817,2.272476
TREE,TREE,2/28/2014,353994,81197,4.359693
TREE,TREE,2/14/2014,322944,81225,3.975919
TREE,TREE,1/31/2014,300995,61236,4.915328
TREE,TREE,1/15/2014,127976,71709,1.784657
TREE,TREE,12/31/2013,185559,62304,2.978284
TREE,TREE,12/13/2013,186103,69326,2.684462
TREE,TREE,11/29/2013,213825,65535,3.262760
TREE,TREE,11/15/2013,219291,100961,2.172037
TREE,TREE,10/31/2013,216340,59647,3.627006
TREE,TREE,10/15/2013,224685,79235,2.835679
