filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TWO,TWO,9/15/2014,4185051,2021295,2.070480
TWO,TWO,8/29/2014,4264841,1861580,2.290979
TWO,TWO,8/15/2014,4610571,2342437,1.968280
TWO,TWO,7/31/2014,4664423,1915750,2.434776
TWO,TWO,7/15/2014,4786588,3217831,1.487520
TWO,TWO,6/30/2014,4045353,3697054,1.094210
TWO,TWO,6/13/2014,4713055,2911690,1.618666
TWO,TWO,5/30/2014,5164858,3644854,1.417027
TWO,TWO,5/15/2014,4602677,3344280,1.376283
TWO,TWO,4/30/2014,4899190,4599926,1.065058
TWO,TWO,4/15/2014,5518667,3404778,1.620860
TWO,TWO,3/31/2014,4996077,3109655,1.606634
TWO,TWO,3/14/2014,5520843,3873124,1.425424
TWO,TWO,2/28/2014,5004428,5327497,1.000000
TWO,TWO,2/14/2014,4766079,3946884,1.207555
TWO,TWO,1/31/2014,5054758,3314341,1.525117
TWO,TWO,1/15/2014,4842783,4366925,1.108969
TWO,TWO,12/31/2013,5800416,4548463,1.275247
TWO,TWO,12/13/2013,5863021,3993665,1.468080
TWO,TWO,11/29/2013,6673844,3170157,2.105209
TWO,TWO,11/15/2013,8100878,4153989,1.950144
TWO,TWO,10/31/2013,6429177,4925900,1.305178
TWO,TWO,10/15/2013,7071475,3681475,1.920827
