filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TXRH,TXRH,9/15/2014,4620733,386226,11.963806
TXRH,TXRH,8/29/2014,4158557,503270,8.263073
TXRH,TXRH,8/15/2014,3853408,704688,5.468247
TXRH,TXRH,7/31/2014,3249512,444353,7.312907
TXRH,TXRH,7/15/2014,3296468,452228,7.289394
TXRH,TXRH,6/30/2014,3209881,552339,5.811433
TXRH,TXRH,6/13/2014,3051084,339028,8.999504
TXRH,TXRH,5/30/2014,2825705,428433,6.595442
TXRH,TXRH,5/15/2014,2711105,718439,3.773605
TXRH,TXRH,4/30/2014,3174112,408297,7.774027
TXRH,TXRH,4/15/2014,3169702,528946,5.992487
TXRH,TXRH,3/31/2014,3570474,628918,5.677169
TXRH,TXRH,3/14/2014,3203689,524996,6.102311
TXRH,TXRH,2/28/2014,3040797,896850,3.390530
TXRH,TXRH,2/14/2014,3257114,811693,4.012741
TXRH,TXRH,1/31/2014,2846683,714826,3.982344
TXRH,TXRH,1/15/2014,2550079,527550,4.833815
TXRH,TXRH,12/31/2013,2647049,489386,5.408919
TXRH,TXRH,12/13/2013,2105588,433025,4.862509
TXRH,TXRH,11/29/2013,2214165,360206,6.146941
TXRH,TXRH,11/15/2013,2560358,590196,4.338149
TXRH,TXRH,10/31/2013,3132778,773250,4.051443
TXRH,TXRH,10/15/2013,2751721,587979,4.679965
