filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TXTR,TXTR,9/15/2014,8386517,161897,51.801559
TXTR,TXTR,8/29/2014,8382384,199700,41.974882
TXTR,TXTR,8/15/2014,8339338,333883,24.976827
TXTR,TXTR,7/31/2014,8727550,235643,37.037171
TXTR,TXTR,7/15/2014,8825927,376955,23.413742
TXTR,TXTR,6/30/2014,7678383,547914,14.013847
TXTR,TXTR,6/13/2014,6380670,238507,26.752548
TXTR,TXTR,5/30/2014,6165756,367205,16.791046
TXTR,TXTR,5/15/2014,5970465,674387,8.853173
TXTR,TXTR,4/30/2014,6838677,431441,15.850781
TXTR,TXTR,4/15/2014,7032040,550896,12.764732
TXTR,TXTR,3/31/2014,7201697,467000,15.421193
TXTR,TXTR,3/14/2014,6808954,302307,22.523309
TXTR,TXTR,2/28/2014,6969759,543806,12.816628
TXTR,TXTR,2/14/2014,6898855,534842,12.898865
TXTR,TXTR,1/31/2014,6185644,824377,7.503417
TXTR,TXTR,1/15/2014,5962367,1288526,4.627277
TXTR,TXTR,12/31/2013,4692598,1297112,3.617728
TXTR,TXTR,12/13/2013,3216937,402173,7.998889
TXTR,TXTR,11/29/2013,2617250,403540,6.485726
TXTR,TXTR,11/15/2013,1965150,220056,8.930227
TXTR,TXTR,10/31/2013,1947593,119799,16.257172
TXTR,TXTR,10/15/2013,1524751,256151,5.952548
