filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
UCBI,UCBI,9/15/2014,2491763,425927,5.850211
UCBI,UCBI,8/29/2014,2092415,203014,10.306752
UCBI,UCBI,8/15/2014,1906921,248781,7.665059
UCBI,UCBI,7/31/2014,1923292,248855,7.728565
UCBI,UCBI,7/15/2014,1834896,227186,8.076624
UCBI,UCBI,6/30/2014,1969595,340396,5.786187
UCBI,UCBI,6/13/2014,1937665,261267,7.416417
UCBI,UCBI,5/30/2014,1974736,207058,9.537115
UCBI,UCBI,5/15/2014,2117339,353468,5.990186
UCBI,UCBI,4/30/2014,2173138,317277,6.849340
UCBI,UCBI,4/15/2014,2527861,363082,6.962232
UCBI,UCBI,3/31/2014,2218067,528437,4.197410
UCBI,UCBI,3/14/2014,1849579,515350,3.588976
UCBI,UCBI,2/28/2014,1926318,344390,5.593420
UCBI,UCBI,2/14/2014,2023254,351897,5.749563
UCBI,UCBI,1/31/2014,1554175,396860,3.916180
UCBI,UCBI,1/15/2014,1620257,812747,1.993556
UCBI,UCBI,12/31/2013,1371918,592103,2.317026
UCBI,UCBI,12/13/2013,1235343,212651,5.809251
UCBI,UCBI,11/29/2013,1472905,491039,2.999568
UCBI,UCBI,11/15/2013,1151184,594466,1.936501
UCBI,UCBI,10/31/2013,1333944,399449,3.339460
UCBI,UCBI,10/15/2013,1623667,268706,6.042541
