filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
UGI,UGI,9/15/2014,2822627,1145185,2.464778
UGI,UGI,8/29/2014,1739515,539221,3.225978
UGI,UGI,8/15/2014,2828670,835291,3.386448
UGI,UGI,7/31/2014,3473383,851080,4.081147
UGI,UGI,7/15/2014,4621896,1020847,4.527512
UGI,UGI,6/30/2014,3905241,851909,4.584104
UGI,UGI,6/13/2014,3981822,732453,5.436287
UGI,UGI,5/30/2014,3407768,667567,5.104758
UGI,UGI,5/15/2014,2542942,910376,2.793287
UGI,UGI,4/30/2014,1925918,914999,2.104830
UGI,UGI,4/15/2014,2439267,955210,2.553645
UGI,UGI,3/31/2014,2383557,799394,2.981703
UGI,UGI,3/14/2014,2356101,792703,2.972237
UGI,UGI,2/28/2014,1945791,924878,2.103835
UGI,UGI,2/14/2014,1484135,1269016,1.169517
UGI,UGI,1/31/2014,1238909,1051526,1.178201
UGI,UGI,1/15/2014,1556015,836182,1.860857
UGI,UGI,12/31/2013,1932041,715197,2.701412
UGI,UGI,12/13/2013,2145435,820729,2.614060
UGI,UGI,11/29/2013,2501917,551464,4.536863
UGI,UGI,11/15/2013,2807526,642771,4.367850
UGI,UGI,10/31/2013,3342043,987224,3.385292
UGI,UGI,10/15/2013,3483476,947644,3.675934
