filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ULTR,Bahamas,9/15/2014,549945,46801,11.750710
ULTR,Bahamas,8/29/2014,537285,41909,12.820277
ULTR,Bahamas,8/15/2014,558368,62148,8.984489
ULTR,Bahamas,7/31/2014,493522,164406,3.001849
ULTR,Bahamas,7/15/2014,467040,231793,2.014901
ULTR,Bahamas,6/30/2014,489652,106805,4.584542
ULTR,Bahamas,6/13/2014,502981,43082,11.674969
ULTR,Bahamas,5/30/2014,537494,99051,5.426437
ULTR,Bahamas,5/15/2014,524693,117115,4.480152
ULTR,Bahamas,4/30/2014,505319,70980,7.119174
ULTR,Bahamas,4/15/2014,514188,111506,4.611303
ULTR,Bahamas,3/31/2014,518323,192371,2.694393
ULTR,Bahamas,3/14/2014,414657,92962,4.460500
ULTR,Bahamas,2/28/2014,411653,61275,6.718123
ULTR,Bahamas,2/14/2014,376824,85612,4.401532
ULTR,Bahamas,1/31/2014,321872,86729,3.711238
ULTR,Bahamas,1/15/2014,297593,248261,1.198710
ULTR,Bahamas,12/31/2013,310158,65616,4.726865
ULTR,Bahamas,12/13/2013,310078,70138,4.420970
ULTR,Bahamas,11/29/2013,337459,104734,3.222058
ULTR,Bahamas,11/15/2013,386920,113864,3.398089
ULTR,Bahamas,10/31/2013,474305,105909,4.478420
ULTR,Bahamas,10/15/2013,530718,105972,5.008096
