filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
UPIP,UPIP,9/15/2014,2943961,387900,7.589484
UPIP,UPIP,8/29/2014,2915747,310254,9.397935
UPIP,UPIP,8/15/2014,3247490,247322,13.130615
UPIP,UPIP,7/31/2014,3224886,352816,9.140419
UPIP,UPIP,7/15/2014,3199412,291457,10.977304
UPIP,UPIP,6/30/2014,3445488,371375,9.277652
UPIP,UPIP,6/13/2014,3425067,426616,8.028454
UPIP,UPIP,5/30/2014,3661095,636543,5.751528
UPIP,UPIP,5/15/2014,3729138,774135,4.817168
UPIP,UPIP,4/30/2014,3246956,821493,3.952506
UPIP,UPIP,4/15/2014,3076133,906311,3.394125
UPIP,UPIP,3/31/2014,2313843,3008975,1.000000
UPIP,UPIP,3/14/2014,2228601,545647,4.084327
UPIP,UPIP,2/28/2014,1884779,359965,5.236006
UPIP,UPIP,2/14/2014,2012664,348639,5.772917
UPIP,UPIP,1/31/2014,1433762,601131,2.385107
UPIP,UPIP,1/15/2014,1120853,259792,4.314425
UPIP,UPIP,12/31/2013,1115651,413998,2.694822
UPIP,UPIP,12/13/2013,1414211,393378,3.595043
UPIP,UPIP,11/29/2013,1491845,399164,3.737424
UPIP,UPIP,11/15/2013,1396838,339301,4.116811
UPIP,UPIP,10/31/2013,1702241,330084,5.156993
UPIP,UPIP,10/15/2013,1711886,243454,7.031661
