filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
VRSN,VRSN,9/15/2014,19992780,1262530,15.835489
VRSN,VRSN,8/29/2014,19009677,814920,23.327047
VRSN,VRSN,8/15/2014,18774856,1179534,15.917181
VRSN,VRSN,7/31/2014,19133569,1770908,10.804383
VRSN,VRSN,7/15/2014,19548670,925262,21.127713
VRSN,VRSN,6/30/2014,19765139,1307965,15.111367
VRSN,VRSN,6/13/2014,22922351,873368,26.245925
VRSN,VRSN,5/30/2014,20081887,1115737,17.998764
VRSN,VRSN,5/15/2014,20035781,1461843,13.705836
VRSN,VRSN,4/30/2014,19642253,1901432,10.330242
VRSN,VRSN,4/15/2014,20056366,1906267,10.521278
VRSN,VRSN,3/31/2014,23218994,2416726,9.607624
VRSN,VRSN,3/14/2014,19177091,1184701,16.187284
VRSN,VRSN,2/28/2014,18778991,1599494,11.740582
VRSN,VRSN,2/14/2014,19014345,3575076,5.318585
VRSN,VRSN,1/31/2014,19822340,1565412,12.662698
VRSN,VRSN,1/15/2014,22714378,1501995,15.122805
VRSN,VRSN,12/31/2013,24641765,1435993,17.160087
VRSN,VRSN,12/13/2013,22436713,1214492,18.474155
VRSN,VRSN,11/29/2013,22501298,990145,22.725255
VRSN,VRSN,11/15/2013,21072811,1057444,19.928063
VRSN,VRSN,10/31/2013,22181076,1332294,16.648785
VRSN,VRSN,10/15/2013,20160755,988282,20.399800
