filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
XCRA,XCRA,9/15/2014,1751330,856020,2.045898
XCRA,XCRA,8/29/2014,1790198,197256,9.075506
XCRA,XCRA,8/15/2014,1835324,166386,11.030519
XCRA,XCRA,7/31/2014,1875257,243164,7.711902
XCRA,XCRA,7/15/2014,1762924,227208,7.759075
XCRA,XCRA,6/30/2014,1875067,291610,6.430050
XCRA,XCRA,6/13/2014,1885964,245303,7.688304
XCRA,XCRA,5/30/2014,2047733,305813,6.696030
XCRA,XCRA,5/15/2014,2161693,275064,7.858873
XCRA,XCRA,4/30/2014,1971487,418144,4.714852
XCRA,XCRA,4/15/2014,1900478,405436,4.687492
XCRA,XCRA,3/31/2014,1717320,325700,5.272705
XCRA,XCRA,3/14/2014,1619184,364390,4.443547
XCRA,XCRA,2/28/2014,1659329,590324,2.810878
XCRA,XCRA,2/14/2014,1783237,395910,4.504147
XCRA,XCRA,1/31/2014,1396710,360195,3.877650
XCRA,XCRA,1/15/2014,1637475,441467,3.709167
XCRA,XCRA,12/31/2013,1410423,468276,3.011948
XCRA,XCRA,12/13/2013,1378865,697623,1.976519
XCRA,XCRA,11/29/2013,1450624,350484,4.138916
XCRA,XCRA,11/15/2013,1495564,214499,6.972359
XCRA,XCRA,10/31/2013,1589476,387659,4.100191
XCRA,XCRA,10/15/2013,1624918,514188,3.160163
