filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
AAON,AAON,1/31/2013,695066,64381,10.796136
AAON,AAON,1/15/2013,799084,90707,8.809508
AAON,AAON,12/31/2012,829231,156626,5.294338
AAON,AAON,12/14/2012,1038844,79576,13.054740
AAON,AAON,11/30/2012,1256391,82899,15.155683
AAON,AAON,11/15/2012,1256445,48879,25.705211
AAON,AAON,10/31/2012,1243854,49904,24.924936
AAON,AAON,10/15/2012,1271706,41196,30.869648
AAON,AAON,9/28/2012,1335301,62264,21.445795
AAON,AAON,9/14/2012,1447442,52017,27.826326
AAON,AAON,8/31/2012,1478690,41159,35.926286
AAON,AAON,8/15/2012,1560929,53840,28.991995
AAON,AAON,7/31/2012,1632871,35813,45.594365
AAON,AAON,7/13/2012,1657951,52654,31.487655
AAON,AAON,6/29/2012,1786433,70004,25.519013
AAON,AAON,6/15/2012,1797961,55815,32.212864
AAON,AAON,5/31/2012,1899383,70862,26.803971
AAON,AAON,5/15/2012,1867724,73400,25.445831
AAON,AAON,4/30/2012,1864610,53134,35.092596
AAON,AAON,4/13/2012,1797960,67046,26.816812
AAON,AAON,3/30/2012,1777563,62381,28.495263
AAON,AAON,3/15/2012,1770226,56873,31.125947
AAON,AAON,2/29/2012,1730134,42208,40.990665
AAON,AAON,2/15/2012,1803261,66923,26.945310
