filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ABCO,ABCO,1/31/2013,1482706,146118,10.147319
ABCO,ABCO,1/15/2013,1456503,166004,8.773903
ABCO,ABCO,12/31/2012,1512431,201804,7.494554
ABCO,ABCO,12/14/2012,1599534,168881,9.471367
ABCO,ABCO,11/30/2012,1644216,172102,9.553730
ABCO,ABCO,11/15/2012,1407995,202573,6.950556
ABCO,ABCO,10/31/2012,1589993,104316,15.242082
ABCO,ABCO,10/15/2012,1644913,157472,10.445749
ABCO,ABCO,9/28/2012,1597620,164612,9.705368
ABCO,ABCO,9/14/2012,1655177,188439,8.783622
ABCO,ABCO,8/31/2012,1607633,290363,5.536632
ABCO,ABCO,8/15/2012,1726060,345206,5.000087
ABCO,ABCO,7/31/2012,1837463,282081,6.513955
ABCO,ABCO,7/13/2012,2020335,145531,13.882506
ABCO,ABCO,6/29/2012,2183599,311273,7.015061
ABCO,ABCO,6/15/2012,2264436,293430,7.717125
ABCO,ABCO,5/31/2012,2412894,264894,9.108904
ABCO,ABCO,5/15/2012,2155820,340042,6.339864
ABCO,ABCO,4/30/2012,2017216,222596,9.062229
ABCO,ABCO,4/13/2012,2155350,306486,7.032458
ABCO,ABCO,3/30/2012,1014308,93295,10.872051
ABCO,ABCO,3/15/2012,1067822,135412,7.885727
ABCO,ABCO,2/29/2012,918350,123870,7.413821
ABCO,ABCO,2/15/2012,817906,149878,5.457145
