filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ACOR,ACOR,1/31/2013,2422610,424151,5.711669
ACOR,ACOR,1/15/2013,2589568,545080,4.750804
ACOR,ACOR,12/31/2012,2638634,354363,7.446133
ACOR,ACOR,12/14/2012,2704898,258961,10.445194
ACOR,ACOR,11/30/2012,2738047,222603,12.300135
ACOR,ACOR,11/15/2012,2797576,293195,9.541691
ACOR,ACOR,10/31/2012,2877161,405498,7.095377
ACOR,ACOR,10/15/2012,3384220,1200747,2.818429
ACOR,ACOR,9/28/2012,2883211,359642,8.016892
ACOR,ACOR,9/14/2012,2875015,451786,6.363666
ACOR,ACOR,8/31/2012,2909157,222646,13.066289
ACOR,ACOR,8/15/2012,2608878,473884,5.505309
ACOR,ACOR,7/31/2012,3035279,314225,9.659572
ACOR,ACOR,7/13/2012,2846679,331718,8.581624
ACOR,ACOR,6/29/2012,2799833,293013,9.555320
ACOR,ACOR,6/15/2012,2778066,273914,10.142110
ACOR,ACOR,5/31/2012,2781457,434262,6.405020
ACOR,ACOR,5/15/2012,2524064,371662,6.791289
ACOR,ACOR,4/30/2012,2264283,368502,6.144561
ACOR,ACOR,4/13/2012,2565292,329343,7.789120
ACOR,ACOR,3/30/2012,2735613,284359,9.620279
ACOR,ACOR,3/15/2012,2744273,433968,6.323676
ACOR,ACOR,2/29/2012,2691192,524171,5.134187
ACOR,ACOR,2/15/2012,2745372,481300,5.704076
