filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ACTG,ACTG,1/31/2013,1862968,394162,4.726402
ACTG,ACTG,1/15/2013,2111184,516551,4.087078
ACTG,ACTG,12/31/2012,2347600,442696,5.302962
ACTG,ACTG,12/14/2012,2894473,598760,4.834112
ACTG,ACTG,11/30/2012,2788401,850925,3.276906
ACTG,ACTG,11/15/2012,2496627,547545,4.559675
ACTG,ACTG,10/31/2012,2382458,688722,3.459245
ACTG,ACTG,10/15/2012,2345629,851673,2.754143
ACTG,ACTG,9/28/2012,2031487,494278,4.110009
ACTG,ACTG,9/14/2012,2279085,468621,4.863386
ACTG,ACTG,8/31/2012,2312073,707510,3.267902
ACTG,ACTG,8/15/2012,2898172,1138069,2.546570
ACTG,ACTG,7/31/2012,3097167,1086027,2.851832
ACTG,ACTG,7/13/2012,2765182,326900,8.458801
ACTG,ACTG,6/29/2012,2846478,422052,6.744377
ACTG,ACTG,6/15/2012,2533666,308834,8.203974
ACTG,ACTG,5/31/2012,2538904,372751,6.811260
ACTG,ACTG,5/15/2012,2257175,356943,6.323629
ACTG,ACTG,4/30/2012,2155674,544894,3.956135
ACTG,ACTG,4/13/2012,2202521,330785,6.658467
ACTG,ACTG,3/30/2012,2224583,323530,6.875971
ACTG,ACTG,3/15/2012,2262180,437622,5.169256
ACTG,ACTG,2/29/2012,2277757,617712,3.687409
ACTG,ACTG,2/15/2012,1607577,290979,5.524718
