filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
AEE,AEE,1/31/2013,1946931,1803232,1.079690
AEE,AEE,1/15/2013,1499866,2017539,1.000000
AEE,AEE,12/31/2012,1867362,2875810,1.000000
AEE,AEE,12/14/2012,1790430,1942185,1.000000
AEE,AEE,11/30/2012,1953391,1978838,1.000000
AEE,AEE,11/15/2012,1907523,1903069,1.002340
AEE,AEE,10/31/2012,2307651,1473970,1.565602
AEE,AEE,10/15/2012,1403419,1258203,1.115415
AEE,AEE,9/28/2012,1716638,1640603,1.046346
AEE,AEE,9/14/2012,1397979,1850477,1.000000
AEE,AEE,8/31/2012,1737961,1598356,1.087343
AEE,AEE,8/15/2012,2448082,1639704,1.493002
AEE,AEE,7/31/2012,2372316,1041444,2.277910
AEE,AEE,7/13/2012,3237431,1176536,2.751663
AEE,AEE,6/29/2012,2926158,1459681,2.004656
AEE,AEE,6/15/2012,3801343,2109859,1.801705
AEE,AEE,5/31/2012,3857712,1416169,2.724048
AEE,AEE,5/15/2012,4462917,1404464,3.177666
AEE,AEE,4/30/2012,4324503,1689530,2.559589
AEE,AEE,4/13/2012,4743646,1193233,3.975457
AEE,AEE,3/30/2012,4702434,1357282,3.464596
AEE,AEE,3/15/2012,4413771,1607127,2.746373
AEE,AEE,2/29/2012,3517717,1778178,1.978270
AEE,AEE,2/15/2012,3748656,1267744,2.956950
