filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
AEM,AEM,1/31/2013,1020973,1351587,1.000000
AEM,AEM,1/15/2013,2333638,1294647,1.802528
AEM,AEM,12/31/2012,2559269,1618574,1.581188
AEM,AEM,12/14/2012,2936972,1384762,2.120922
AEM,AEM,11/30/2012,2155855,1454879,1.481811
AEM,AEM,11/15/2012,2762970,1640539,1.684184
AEM,AEM,10/31/2012,2780962,1477691,1.881964
AEM,AEM,10/15/2012,2475657,1258078,1.967809
AEM,AEM,9/28/2012,2440242,2109976,1.156526
AEM,AEM,9/14/2012,3652745,2042868,1.788047
AEM,AEM,8/31/2012,3357733,1536806,2.184878
AEM,AEM,8/15/2012,4290701,1999093,2.146324
AEM,AEM,7/31/2012,2162012,2119982,1.019826
AEM,AEM,7/13/2012,2475389,1739173,1.423314
AEM,AEM,6/29/2012,3298948,2083875,1.583083
AEM,AEM,6/15/2012,3955076,2722019,1.452994
AEM,AEM,5/31/2012,3523976,2603392,1.353609
AEM,AEM,5/15/2012,4224559,2783076,1.517946
AEM,AEM,4/30/2012,2999753,2399659,1.250075
AEM,AEM,4/13/2012,2689400,2159586,1.245331
AEM,AEM,3/30/2012,1945040,2114339,1.000000
AEM,AEM,3/15/2012,1853514,2347652,1.000000
AEM,AEM,2/29/2012,1293022,3379894,1.000000
AEM,AEM,2/15/2012,1165533,2095428,1.000000
