filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
AIR,AIR,1/31/2013,1574566,305400,5.155750
AIR,AIR,1/15/2013,1687057,351867,4.794587
AIR,AIR,12/31/2012,1602043,368364,4.349076
AIR,AIR,12/14/2012,1702385,179690,9.474011
AIR,AIR,11/30/2012,1793532,215833,8.309814
AIR,AIR,11/15/2012,1730520,232080,7.456567
AIR,AIR,10/31/2012,1629466,310091,5.254799
AIR,AIR,10/15/2012,1588909,246696,6.440757
AIR,AIR,9/28/2012,1810902,404684,4.474854
AIR,AIR,9/14/2012,2111101,407757,5.177351
AIR,AIR,8/31/2012,2239422,245668,9.115644
AIR,AIR,8/15/2012,2385199,279855,8.522982
AIR,AIR,7/31/2012,2483222,462316,5.371266
AIR,AIR,7/13/2012,2643176,396490,6.666438
AIR,AIR,6/29/2012,2616127,808878,3.234266
AIR,AIR,6/15/2012,2370904,721844,3.284510
AIR,AIR,5/31/2012,2342580,355565,6.588331
AIR,AIR,5/15/2012,2331852,324243,7.191680
AIR,AIR,4/30/2012,2142609,421354,5.085057
AIR,AIR,4/13/2012,1970635,403484,4.884047
AIR,AIR,3/30/2012,1930583,562737,3.430702
AIR,AIR,3/15/2012,2041281,177222,11.518214
AIR,AIR,2/29/2012,2045241,225072,9.087052
AIR,AIR,2/15/2012,2086516,159326,13.095891
