filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
AIXG,AIXG,1/31/2013,2188014,124619,17.557628
AIXG,AIXG,1/15/2013,2168915,97983,22.135626
AIXG,AIXG,12/31/2012,2273328,64847,35.056795
AIXG,AIXG,12/14/2012,2593871,155516,16.679126
AIXG,AIXG,11/30/2012,2800233,82605,33.899074
AIXG,AIXG,11/15/2012,2982520,94496,31.562394
AIXG,AIXG,10/31/2012,2948822,122534,24.065337
AIXG,AIXG,10/15/2012,3026331,60430,50.079944
AIXG,AIXG,9/28/2012,2866642,96432,29.727082
AIXG,AIXG,9/14/2012,2960371,80666,36.699117
AIXG,AIXG,8/31/2012,2978091,84499,35.244098
AIXG,AIXG,8/15/2012,3115526,133169,23.395280
AIXG,AIXG,7/31/2012,2982938,200246,14.896367
AIXG,AIXG,7/13/2012,3046554,153367,19.864469
AIXG,AIXG,6/29/2012,3278736,222631,14.727221
AIXG,AIXG,6/15/2012,3213565,241673,13.297162
AIXG,AIXG,5/31/2012,3777949,196729,19.203824
AIXG,AIXG,5/15/2012,3588572,165462,21.688194
AIXG,AIXG,4/30/2012,3228826,173764,18.581674
AIXG,AIXG,4/13/2012,3140436,128561,24.427595
AIXG,AIXG,3/30/2012,3023525,233477,12.949991
AIXG,AIXG,3/15/2012,3162229,306591,10.314161
AIXG,AIXG,2/29/2012,2908583,342494,8.492362
AIXG,AIXG,2/15/2012,2456155,283312,8.669435
