filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
AMKR,AMKR,1/31/2013,16556449,648416,25.533684
AMKR,AMKR,1/15/2013,16340173,718510,22.741748
AMKR,AMKR,12/31/2012,15864079,556431,28.510415
AMKR,AMKR,12/14/2012,15765495,422706,37.296596
AMKR,AMKR,11/30/2012,15887282,694076,22.889831
AMKR,AMKR,11/15/2012,15332793,451743,33.941407
AMKR,AMKR,10/31/2012,15573224,673097,23.136671
AMKR,AMKR,10/15/2012,15692757,427733,36.688207
AMKR,AMKR,9/28/2012,15761717,579633,27.192580
AMKR,AMKR,9/14/2012,15790187,838457,18.832435
AMKR,AMKR,8/31/2012,15634094,959170,16.299607
AMKR,AMKR,8/15/2012,16363407,1100730,14.865959
AMKR,AMKR,7/31/2012,14993629,838302,17.885713
AMKR,AMKR,7/13/2012,14629815,1231157,11.882981
AMKR,AMKR,6/29/2012,14949599,1085710,13.769422
AMKR,AMKR,6/15/2012,15207284,1187282,12.808485
AMKR,AMKR,5/31/2012,15382841,1070885,14.364606
AMKR,AMKR,5/15/2012,15540616,2363440,6.575422
AMKR,AMKR,4/30/2012,13305417,1422143,9.355892
AMKR,AMKR,4/13/2012,13488119,980793,13.752259
AMKR,AMKR,3/30/2012,13628013,1101830,12.368526
AMKR,AMKR,3/15/2012,14236956,1027735,13.852750
AMKR,AMKR,2/29/2012,14170751,2024872,6.998344
AMKR,AMKR,2/15/2012,14273084,2080568,6.860186
