filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
AMSF,AMSF,1/31/2013,311102,59731,5.208384
AMSF,AMSF,1/15/2013,286464,81495,3.515111
AMSF,AMSF,12/31/2012,235850,53920,4.374073
AMSF,AMSF,12/14/2012,297676,42003,7.087018
AMSF,AMSF,11/30/2012,362412,49973,7.252156
AMSF,AMSF,11/15/2012,304240,43985,6.916903
AMSF,AMSF,10/31/2012,302555,57400,5.270993
AMSF,AMSF,10/15/2012,320550,43878,7.305483
AMSF,AMSF,9/28/2012,332302,67439,4.927446
AMSF,AMSF,9/14/2012,393041,69913,5.621859
AMSF,AMSF,8/31/2012,391737,38220,10.249529
AMSF,AMSF,8/15/2012,434653,55570,7.821720
AMSF,AMSF,7/31/2012,446613,35645,12.529471
AMSF,AMSF,7/13/2012,471311,38974,12.092959
AMSF,AMSF,6/29/2012,505486,45970,10.995997
AMSF,AMSF,6/15/2012,519793,74720,6.956544
AMSF,AMSF,5/31/2012,555610,71779,7.740565
AMSF,AMSF,5/15/2012,510194,63247,8.066691
AMSF,AMSF,4/30/2012,599317,100634,5.955413
AMSF,AMSF,4/13/2012,666240,89957,7.406205
AMSF,AMSF,3/30/2012,609654,62486,9.756649
AMSF,AMSF,3/15/2012,652708,71452,9.134916
AMSF,AMSF,2/29/2012,612789,104668,5.854597
AMSF,AMSF,2/15/2012,616524,50816,12.132478
