filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ANCB,ANCB,1/31/2013,1191,4653,1.000000
ANCB,ANCB,1/15/2013,1229,1016,1.209646
ANCB,ANCB,12/31/2012,1021,800,1.276250
ANCB,ANCB,12/14/2012,825,6481,1.000000
ANCB,ANCB,11/30/2012,1276,602,2.119601
ANCB,ANCB,11/15/2012,3395,2317,1.465257
ANCB,ANCB,10/31/2012,2345,722,3.247922
ANCB,ANCB,10/15/2012,2708,3399,1.000000
ANCB,ANCB,9/28/2012,2578,2462,1.047116
ANCB,ANCB,9/14/2012,3283,2391,1.373066
ANCB,ANCB,8/31/2012,2908,1264,2.300633
ANCB,ANCB,8/15/2012,2926,468,6.252137
ANCB,ANCB,7/31/2012,3407,571,5.966725
ANCB,ANCB,7/13/2012,2607,6113,1.000000
ANCB,ANCB,6/29/2012,2606,1385,1.881588
ANCB,ANCB,6/15/2012,3263,759,4.299078
ANCB,ANCB,5/31/2012,3620,1600,2.262500
ANCB,ANCB,5/15/2012,2865,8317,1.000000
ANCB,ANCB,4/30/2012,2812,6681,1.000000
ANCB,ANCB,4/13/2012,3563,981,3.632008
ANCB,ANCB,3/30/2012,2474,4390,1.000000
ANCB,ANCB,3/15/2012,1754,4075,1.000000
ANCB,ANCB,2/29/2012,1478,1650,1.000000
ANCB,ANCB,2/15/2012,1684,3832,1.000000
