filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ANDAU,ANDAU,1/31/2013,,,
ANDAU,ANDAU,1/15/2013,,,
ANDAU,ANDAU,12/31/2012,2808,0.000000,
ANDAU,ANDAU,12/14/2012,200,790,1.000000
ANDAU,ANDAU,11/30/2012,100,980,1.000000
ANDAU,ANDAU,11/15/2012,,,
ANDAU,ANDAU,10/31/2012,,,
ANDAU,ANDAU,10/15/2012,,,
ANDAU,ANDAU,9/28/2012,,,
ANDAU,ANDAU,9/14/2012,58,0.000000,
ANDAU,ANDAU,8/31/2012,625,1216,1.000000
ANDAU,ANDAU,8/15/2012,525,136,3.860294
ANDAU,ANDAU,7/31/2012,525,,
ANDAU,ANDAU,7/13/2012,525,134,3.917910
ANDAU,ANDAU,6/29/2012,525,85,6.176471
ANDAU,ANDAU,6/15/2012,1475,1117,1.320501
ANDAU,ANDAU,5/31/2012,2475,7109,1.000000
ANDAU,ANDAU,5/15/2012,2025,3675,1.000000
ANDAU,ANDAU,4/30/2012,2925,4473,1.000000
ANDAU,ANDAU,4/13/2012,2100,3400,1.000000
ANDAU,ANDAU,3/30/2012,1450,84950,1.000000
ANDAU,ANDAU,3/15/2012,,,
ANDAU,ANDAU,,,,
ANDAU,ANDAU,,,,
