filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ASNA,ASNA,1/31/2013,7007997,1411719,4.964159
ASNA,ASNA,1/15/2013,7545365,2704135,2.790306
ASNA,ASNA,12/31/2012,6478164,1438194,4.504374
ASNA,ASNA,12/14/2012,5941009,1855076,3.202569
ASNA,ASNA,11/30/2012,6208197,985181,6.301580
ASNA,ASNA,11/15/2012,4644486,1180329,3.934908
ASNA,ASNA,10/31/2012,4150568,1329192,3.122625
ASNA,ASNA,10/15/2012,4357305,1458469,2.987588
ASNA,ASNA,9/28/2012,4461449,2896326,1.540382
ASNA,ASNA,9/14/2012,4561274,1651331,2.762180
ASNA,ASNA,8/31/2012,5031173,1192545,4.218854
ASNA,ASNA,8/15/2012,5228057,1486787,3.516346
ASNA,ASNA,7/31/2012,4939167,1280907,3.855992
ASNA,ASNA,7/13/2012,5026012,1153100,4.358696
ASNA,ASNA,6/29/2012,4609432,3474355,1.326702
ASNA,ASNA,6/15/2012,8927136,3027796,2.948394
ASNA,ASNA,5/31/2012,8321397,1938762,4.292119
ASNA,ASNA,5/15/2012,7917774,3122543,2.535681
ASNA,ASNA,4/30/2012,7125564,1355847,5.255434
ASNA,ASNA,4/13/2012,7126576,1420016,5.018659
ASNA,ASNA,3/30/2012,7324742,1861740,3.934353
ASNA,ASNA,3/15/2012,9187312,2571416,3.572861
ASNA,ASNA,2/29/2012,10166934,1907348,5.330403
ASNA,ASNA,2/15/2012,12435844,924216,13.455560
