filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
AYI,AYI,1/31/2013,2449814,445518,5.498799
AYI,AYI,1/15/2013,1995317,746370,2.673362
AYI,AYI,12/31/2012,1456853,304987,4.776771
AYI,AYI,12/14/2012,1704552,172814,9.863506
AYI,AYI,11/30/2012,1794470,201639,8.899419
AYI,AYI,11/15/2012,1624921,318128,5.107759
AYI,AYI,10/31/2012,1672420,281423,5.942727
AYI,AYI,10/15/2012,1588055,512136,3.100846
AYI,AYI,9/28/2012,1995815,355995,5.606301
AYI,AYI,9/14/2012,2318132,323922,7.156451
AYI,AYI,8/31/2012,2577253,189896,13.571918
AYI,AYI,8/15/2012,2793819,248431,11.245855
AYI,AYI,7/31/2012,3028074,357800,8.463035
AYI,AYI,7/13/2012,3266241,572977,5.700475
AYI,AYI,6/29/2012,3141945,475558,6.606860
AYI,AYI,6/15/2012,3320301,377758,8.789492
AYI,AYI,5/31/2012,3296819,410140,8.038277
AYI,AYI,5/15/2012,2807383,287102,9.778347
AYI,AYI,4/30/2012,2599770,435507,5.969525
AYI,AYI,4/13/2012,2831424,643703,4.398650
AYI,AYI,3/30/2012,2374594,227408,10.441999
AYI,AYI,3/15/2012,2450038,264811,9.252025
AYI,AYI,2/29/2012,2306151,287564,8.019610
AYI,AYI,2/15/2012,2697609,283263,9.523337
