filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
BBCN,BBCN,1/31/2013,2033185,330426,6.153223
BBCN,BBCN,1/15/2013,1975125,312490,6.320602
BBCN,BBCN,12/31/2012,2085878,560792,3.719522
BBCN,BBCN,12/14/2012,2437219,239881,10.160117
BBCN,BBCN,11/30/2012,2670952,325776,8.198738
BBCN,BBCN,11/15/2012,2437130,293815,8.294777
BBCN,BBCN,10/31/2012,2387476,465194,5.132216
BBCN,BBCN,10/15/2012,2471778,238683,10.355903
BBCN,BBCN,9/28/2012,2697680,324701,8.308197
BBCN,BBCN,9/14/2012,3155823,362474,8.706343
BBCN,BBCN,8/31/2012,3201228,251753,12.715749
BBCN,BBCN,8/15/2012,3228223,287096,11.244403
BBCN,BBCN,7/31/2012,3238892,352810,9.180273
BBCN,BBCN,7/13/2012,3319960,260502,12.744470
BBCN,BBCN,6/29/2012,3494787,440909,7.926323
BBCN,BBCN,6/15/2012,3605942,331799,10.867851
BBCN,BBCN,5/31/2012,3531287,249466,14.155384
BBCN,BBCN,5/15/2012,3097066,277528,11.159472
BBCN,BBCN,4/30/2012,2943288,412545,7.134465
BBCN,BBCN,4/13/2012,2790615,283733,9.835356
BBCN,BBCN,3/30/2012,2657829,466397,5.698641
BBCN,BBCN,3/15/2012,2660712,408729,6.509722
BBCN,BBCN,2/29/2012,2911617,282981,10.289090
BBCN,BBCN,2/15/2012,2956003,345548,8.554537
