filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
BCOR,BCOR,1/31/2013,1827107,520093,3.513039
BCOR,BCOR,1/15/2013,799222,367183,2.176631
BCOR,BCOR,12/31/2012,832812,283340,2.939267
BCOR,BCOR,12/14/2012,996436,210294,4.738300
BCOR,BCOR,11/30/2012,1295338,226178,5.727073
BCOR,BCOR,11/15/2012,1248375,485731,2.570095
BCOR,BCOR,10/31/2012,920471,245213,3.753761
BCOR,BCOR,10/15/2012,1073401,299965,3.578421
BCOR,BCOR,9/28/2012,1045302,306601,3.409324
BCOR,BCOR,9/14/2012,1117539,390523,2.861647
BCOR,BCOR,8/31/2012,1123418,256029,4.387855
BCOR,BCOR,8/15/2012,1310132,324039,4.043131
BCOR,BCOR,7/31/2012,1477160,314167,4.701831
BCOR,BCOR,7/13/2012,1541521,167595,9.197894
BCOR,BCOR,6/29/2012,1657981,203854,8.133179
BCOR,BCOR,6/15/2012,1746977,251026,6.959347
BCOR,BCOR,5/31/2012,1972693,393385,5.014662
BCOR,BCOR,5/15/2012,1785932,650972,2.743485
BCOR,BCOR,4/30/2012,1439356,225299,6.388648
BCOR,BCOR,4/13/2012,1403959,354346,3.962113
BCOR,BCOR,3/30/2012,1362376,273898,4.974027
BCOR,BCOR,3/15/2012,1542774,577085,2.673391
BCOR,BCOR,2/29/2012,1271666,499788,2.544411
BCOR,BCOR,2/15/2012,1363748,380148,3.587413
