filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
BECN,BECN,1/31/2013,8100950,353588,22.910704
BECN,BECN,1/15/2013,8122813,480701,16.897849
BECN,BECN,12/31/2012,7902338,458462,17.236626
BECN,BECN,12/14/2012,8356070,541342,15.435843
BECN,BECN,11/30/2012,8473916,599060,14.145354
BECN,BECN,11/15/2012,8398003,590868,14.212993
BECN,BECN,10/31/2012,8401467,720427,11.661788
BECN,BECN,10/15/2012,8322112,636578,13.073201
BECN,BECN,9/28/2012,7993040,560639,14.257017
BECN,BECN,9/14/2012,8008260,508691,15.742877
BECN,BECN,8/31/2012,7864761,446537,17.612787
BECN,BECN,8/15/2012,7568942,723704,10.458616
BECN,BECN,7/31/2012,7660362,582972,13.140189
BECN,BECN,7/13/2012,7358750,588892,12.495925
BECN,BECN,6/29/2012,6893099,350071,19.690574
BECN,BECN,6/15/2012,6860704,479678,14.302728
BECN,BECN,5/31/2012,6300816,511537,12.317420
BECN,BECN,5/15/2012,5325878,609526,8.737737
BECN,BECN,4/30/2012,4837770,339575,14.246543
BECN,BECN,4/13/2012,4760135,448389,10.616083
BECN,BECN,3/30/2012,4510312,438026,10.296905
BECN,BECN,3/15/2012,4587763,405187,11.322582
BECN,BECN,2/29/2012,4322452,265053,16.307878
BECN,BECN,2/15/2012,4321303,408956,10.566670
