filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
BKSC,BKSC,1/31/2013,8985,3059,2.937234
BKSC,BKSC,1/15/2013,3735,4475,1.000000
BKSC,BKSC,12/31/2012,4321,2670,1.618352
BKSC,BKSC,12/14/2012,4093,2079,1.968735
BKSC,BKSC,11/30/2012,3833,3151,1.216439
BKSC,BKSC,11/15/2012,3896,2670,1.459176
BKSC,BKSC,10/31/2012,3087,1065,2.898592
BKSC,BKSC,10/15/2012,3377,1844,1.831345
BKSC,BKSC,9/28/2012,4690,3167,1.480897
BKSC,BKSC,9/14/2012,4906,1271,3.859953
BKSC,BKSC,8/31/2012,4221,2407,1.753635
BKSC,BKSC,8/15/2012,4600,1494,3.078983
BKSC,BKSC,7/31/2012,6819,5059,1.347895
BKSC,BKSC,7/13/2012,6931,2165,3.201386
BKSC,BKSC,6/29/2012,4883,3349,1.458047
BKSC,BKSC,6/15/2012,4139,1887,2.193429
BKSC,BKSC,5/31/2012,4167,1798,2.317575
BKSC,BKSC,5/15/2012,3023,1868,1.618308
BKSC,BKSC,4/30/2012,1152,4176,1.000000
BKSC,BKSC,4/13/2012,1352,1953,1.000000
BKSC,BKSC,3/30/2012,1886,1985,1.000000
BKSC,BKSC,3/15/2012,3657,2243,1.630406
BKSC,BKSC,2/29/2012,1257,2143,1.000000
BKSC,BKSC,2/15/2012,2102,3153,1.000000
