filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
BMR,BMR,1/31/2013,4903886,830609,5.903964
BMR,BMR,1/15/2013,4931847,1057415,4.664060
BMR,BMR,12/31/2012,4875981,1125160,4.333589
BMR,BMR,12/14/2012,5073649,768313,6.603622
BMR,BMR,11/30/2012,5243231,1068727,4.906053
BMR,BMR,11/15/2012,4936966,1214569,4.064788
BMR,BMR,10/31/2012,4910864,1827881,2.686643
BMR,BMR,10/15/2012,4475804,1028969,4.349795
BMR,BMR,9/28/2012,4565265,1074663,4.248090
BMR,BMR,9/14/2012,4437486,1053330,4.212816
BMR,BMR,8/31/2012,4121148,673177,6.121938
BMR,BMR,8/15/2012,4158203,1019939,4.076913
BMR,BMR,7/31/2012,4270162,852199,5.010757
BMR,BMR,7/13/2012,3782656,949143,3.985338
BMR,BMR,6/29/2012,3806194,3117995,1.220718
BMR,BMR,6/15/2012,8919871,1128272,7.905781
BMR,BMR,5/31/2012,8813617,1200644,7.340741
BMR,BMR,5/15/2012,8442527,1413587,5.972414
BMR,BMR,4/30/2012,8477943,1286195,6.591491
BMR,BMR,4/13/2012,8289867,4595774,1.803802
BMR,BMR,3/30/2012,7733569,1447044,5.344391
BMR,BMR,3/15/2012,7771976,1114021,6.976508
BMR,BMR,2/29/2012,7353676,1282884,5.732144
BMR,BMR,2/15/2012,7464062,1560242,4.783913
