filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
BQR,BQR,1/31/2013,28347,50379,1.000000
BQR,BQR,1/15/2013,13974,37526,1.000000
BQR,BQR,12/31/2012,4466,54691,1.000000
BQR,BQR,12/14/2012,15576,47759,1.000000
BQR,BQR,11/30/2012,8463,35274,1.000000
BQR,BQR,11/15/2012,7851,49010,1.000000
BQR,BQR,10/31/2012,35578,45826,1.000000
BQR,BQR,10/15/2012,29284,38360,1.000000
BQR,BQR,9/28/2012,21667,44531,1.000000
BQR,BQR,9/14/2012,17833,47578,1.000000
BQR,BQR,8/31/2012,8284,48501,1.000000
BQR,BQR,8/15/2012,8495,26137,1.000000
BQR,BQR,7/31/2012,32790,40247,1.000000
BQR,BQR,7/13/2012,6488,36177,1.000000
BQR,BQR,6/29/2012,5214,42494,1.000000
BQR,BQR,6/15/2012,4411,25842,1.000000
BQR,BQR,5/31/2012,4209,41469,1.000000
BQR,BQR,5/15/2012,15075,29727,1.000000
BQR,BQR,4/30/2012,39854,22236,1.792319
BQR,BQR,4/13/2012,46562,33779,1.378430
BQR,BQR,3/30/2012,43288,56853,1.000000
BQR,BQR,3/15/2012,70430,68206,1.032607
BQR,BQR,2/29/2012,55179,64947,1.000000
BQR,BQR,2/15/2012,38173,59681,1.000000
