filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
BRKS,BRKS,1/31/2013,1623274,397972,4.078865
BRKS,BRKS,1/15/2013,1524405,252052,6.047978
BRKS,BRKS,12/31/2012,1594604,355624,4.483961
BRKS,BRKS,12/14/2012,1907637,328061,5.814885
BRKS,BRKS,11/30/2012,2102030,375267,5.601425
BRKS,BRKS,11/15/2012,1920661,331525,5.793412
BRKS,BRKS,10/31/2012,2003367,236975,8.453917
BRKS,BRKS,10/15/2012,2051486,371257,5.525784
BRKS,BRKS,9/28/2012,1941034,282319,6.875322
BRKS,BRKS,9/14/2012,2089931,396720,5.268025
BRKS,BRKS,8/31/2012,2077377,226959,9.153094
BRKS,BRKS,8/15/2012,2066462,339661,6.083895
BRKS,BRKS,7/31/2012,2008858,213829,9.394694
BRKS,BRKS,7/13/2012,2069186,224419,9.220191
BRKS,BRKS,6/29/2012,2172615,236828,9.173810
BRKS,BRKS,6/15/2012,2203129,252186,8.736127
BRKS,BRKS,5/31/2012,2270850,409824,5.541037
BRKS,BRKS,5/15/2012,2047702,442831,4.624116
BRKS,BRKS,4/30/2012,1944982,261245,7.445050
BRKS,BRKS,4/13/2012,1873856,344272,5.442952
BRKS,BRKS,3/30/2012,1652172,310950,5.313304
BRKS,BRKS,3/15/2012,1896199,484167,3.916415
BRKS,BRKS,2/29/2012,1648642,521635,3.160528
BRKS,BRKS,2/15/2012,1576063,687024,2.294044
