filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CAG,CAG,1/31/2013,6450353,4205685,1.533722
CAG,CAG,1/15/2013,5267299,4271408,1.233153
CAG,CAG,12/31/2012,4752838,3839188,1.237980
CAG,CAG,12/14/2012,5895506,3645003,1.617421
CAG,CAG,11/30/2012,6659220,4608713,1.444920
CAG,CAG,11/15/2012,5814394,3189921,1.822739
CAG,CAG,10/31/2012,6448536,3170280,2.034059
CAG,CAG,10/15/2012,6073466,3459515,1.755583
CAG,CAG,9/28/2012,5263979,5651522,1.000000
CAG,CAG,9/14/2012,5297034,3553136,1.490805
CAG,CAG,8/31/2012,5272817,2962088,1.780101
CAG,CAG,8/15/2012,4856399,2731108,1.778179
CAG,CAG,7/31/2012,4844898,6209163,1.000000
CAG,CAG,7/13/2012,4903262,3464214,1.415404
CAG,CAG,6/29/2012,4540715,4591484,1.000000
CAG,CAG,6/15/2012,4978216,3373205,1.475812
CAG,CAG,5/31/2012,5018070,3914929,1.281778
CAG,CAG,5/15/2012,5324767,3623493,1.469512
CAG,CAG,4/30/2012,5700440,3806043,1.497734
CAG,CAG,4/13/2012,5497383,6502591,1.000000
CAG,CAG,3/30/2012,4688145,3137355,1.494299
CAG,CAG,3/15/2012,4900061,2445897,2.003380
CAG,CAG,2/29/2012,5695344,4441048,1.282432
CAG,CAG,2/15/2012,6126329,3076340,1.991434
