filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CCBG,CCBG,1/31/2013,992612,24976,39.742633
CCBG,CCBG,1/15/2013,1067163,25736,41.465768
CCBG,CCBG,12/31/2012,1026105,30123,34.063838
CCBG,CCBG,12/14/2012,1109589,16623,66.750226
CCBG,CCBG,11/30/2012,1092672,29847,36.609106
CCBG,CCBG,11/15/2012,1058946,16917,62.596560
CCBG,CCBG,10/31/2012,1023278,15452,66.223013
CCBG,CCBG,10/15/2012,988175,14522,68.046757
CCBG,CCBG,9/28/2012,985602,28253,34.884862
CCBG,CCBG,9/14/2012,1030774,41368,24.917182
CCBG,CCBG,8/31/2012,984699,18079,54.466453
CCBG,CCBG,8/15/2012,1019125,19526,52.193230
CCBG,CCBG,7/31/2012,1027073,17236,59.588826
CCBG,CCBG,7/13/2012,1035026,22829,45.338210
CCBG,CCBG,6/29/2012,1052612,36431,28.893305
CCBG,CCBG,6/15/2012,1042784,40227,25.922490
CCBG,CCBG,5/31/2012,1162611,72877,15.953058
CCBG,CCBG,5/15/2012,1071125,22183,48.285850
CCBG,CCBG,4/30/2012,1038650,25931,40.054375
CCBG,CCBG,4/13/2012,1043589,29161,35.787147
CCBG,CCBG,3/30/2012,1108575,34176,32.437237
CCBG,CCBG,3/15/2012,1151534,29502,39.032405
CCBG,CCBG,2/29/2012,1208678,15621,77.375200
CCBG,CCBG,2/15/2012,1212029,21206,57.155003
