filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CCIX,CCIX,1/31/2013,156914,41850,3.749438
CCIX,CCIX,1/15/2013,173955,16070,10.824829
CCIX,CCIX,12/31/2012,185476,24189,7.667783
CCIX,CCIX,12/14/2012,605551,18151,33.361853
CCIX,CCIX,11/30/2012,615479,14067,43.753394
CCIX,CCIX,11/15/2012,651813,35838,18.187762
CCIX,CCIX,10/31/2012,629421,19793,31.800182
CCIX,CCIX,10/15/2012,622022,14757,42.150979
CCIX,CCIX,9/28/2012,584675,29958,19.516490
CCIX,CCIX,9/14/2012,558323,38836,14.376429
CCIX,CCIX,8/31/2012,455571,29267,15.566030
CCIX,CCIX,8/15/2012,393049,31624,12.428820
CCIX,CCIX,7/31/2012,343839,25096,13.700948
CCIX,CCIX,7/13/2012,351399,39371,8.925326
CCIX,CCIX,6/29/2012,390412,41425,9.424550
CCIX,CCIX,6/15/2012,399427,29803,13.402241
CCIX,CCIX,5/31/2012,419246,44526,9.415757
CCIX,CCIX,5/15/2012,386121,48340,7.987609
CCIX,CCIX,4/30/2012,352562,27391,12.871454
CCIX,CCIX,4/13/2012,348795,57297,6.087491
CCIX,CCIX,3/30/2012,307489,66077,4.653495
CCIX,CCIX,3/15/2012,347557,158904,2.187214
CCIX,CCIX,2/29/2012,363424,45096,8.058897
CCIX,CCIX,2/15/2012,375396,67335,5.575050
