filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CEF,CEF,1/31/2013,4531883,730813,6.201153
CEF,CEF,1/15/2013,4676820,794177,5.888889
CEF,CEF,12/31/2012,4468151,1183769,3.774513
CEF,CEF,12/14/2012,4778816,739154,6.465251
CEF,CEF,11/30/2012,4660109,744976,6.255381
CEF,CEF,11/15/2012,4760932,895228,5.318122
CEF,CEF,10/31/2012,3957310,746136,5.303738
CEF,CEF,10/15/2012,4611576,730029,6.316976
CEF,CEF,9/28/2012,4452283,788953,5.643280
CEF,CEF,9/14/2012,4146277,1184604,3.500138
CEF,CEF,8/31/2012,3370653,837650,4.023940
CEF,CEF,8/15/2012,3285814,359769,9.133122
CEF,CEF,7/31/2012,3068144,623970,4.917134
CEF,CEF,7/13/2012,3628038,535971,6.769094
CEF,CEF,6/29/2012,3664685,691125,5.302492
CEF,CEF,6/15/2012,3646386,1215709,2.999390
CEF,CEF,5/31/2012,2680821,1332849,2.011346
CEF,CEF,5/15/2012,2083204,1012336,2.057819
CEF,CEF,4/30/2012,2318175,535508,4.328927
CEF,CEF,4/13/2012,2519107,603980,4.170845
CEF,CEF,3/30/2012,2488071,670237,3.712226
CEF,CEF,3/15/2012,2664732,1033713,2.577826
CEF,CEF,2/29/2012,2754313,1024141,2.689388
CEF,CEF,2/15/2012,2334687,796349,2.931738
