filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CERE,CERE,1/31/2013,330845,71531,4.625197
CERE,CERE,1/15/2013,351993,52858,6.659219
CERE,CERE,12/31/2012,334549,89631,3.732514
CERE,CERE,12/14/2012,376751,28368,13.280845
CERE,CERE,11/30/2012,384379,80137,4.796523
CERE,CERE,11/15/2012,359527,39219,9.167164
CERE,CERE,10/31/2012,336943,18725,17.994286
CERE,CERE,10/15/2012,343145,24206,14.176031
CERE,CERE,9/28/2012,325824,41002,7.946539
CERE,CERE,9/14/2012,340623,32672,10.425533
CERE,CERE,8/31/2012,343170,28434,12.069002
CERE,CERE,8/15/2012,360728,13045,27.652587
CERE,CERE,7/31/2012,356674,10333,34.517952
CERE,CERE,7/13/2012,389951,11925,32.700294
CERE,CERE,6/29/2012,395122,41194,9.591737
CERE,CERE,6/15/2012,345129,13119,26.307569
CERE,CERE,5/31/2012,331440,12003,27.613097
CERE,CERE,5/15/2012,310948,15399,20.192740
CERE,CERE,4/30/2012,256597,20540,12.492551
CERE,CERE,4/13/2012,219297,27120,8.086173
CERE,CERE,3/30/2012,29093,62780,1.000000
CERE,CERE,3/15/2012,7705,12955,1.000000
CERE,CERE,2/29/2012,12317,123360,1.000000
CERE,CERE,2/15/2012,,,
