filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CHD,CHD,1/31/2013,3301314,623273,5.296738
CHD,CHD,1/15/2013,3419417,802388,4.261551
CHD,CHD,12/31/2012,3536201,772965,4.574853
CHD,CHD,12/14/2012,3578936,587698,6.089754
CHD,CHD,11/30/2012,3629042,674912,5.377060
CHD,CHD,11/15/2012,3085971,1050824,2.936715
CHD,CHD,10/31/2012,3101475,764824,4.055149
CHD,CHD,10/15/2012,3889913,653480,5.952612
CHD,CHD,9/28/2012,4268902,851500,5.013390
CHD,CHD,9/14/2012,4625193,782926,5.907574
CHD,CHD,8/31/2012,4456545,862020,5.169886
CHD,CHD,8/15/2012,4110969,1126247,3.650149
CHD,CHD,7/31/2012,4211810,662578,6.356701
CHD,CHD,7/13/2012,4436234,776845,5.710578
CHD,CHD,6/29/2012,4047518,901693,4.488798
CHD,CHD,6/15/2012,4084440,852515,4.791048
CHD,CHD,5/31/2012,4424803,746973,5.923645
CHD,CHD,5/15/2012,4171819,929714,4.487207
CHD,CHD,4/30/2012,3508290,867010,4.046424
CHD,CHD,4/13/2012,3742819,646027,5.793595
CHD,CHD,3/30/2012,3800050,680299,5.585853
CHD,CHD,3/15/2012,3554836,736841,4.824428
CHD,CHD,2/29/2012,3626900,665733,5.447980
CHD,CHD,2/15/2012,3748543,884798,4.236609
