filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CHKR,CHKR,1/31/2013,549253,175608,3.127722
CHKR,CHKR,1/15/2013,467062,211787,2.205338
CHKR,CHKR,12/31/2012,555557,278392,1.995593
CHKR,CHKR,12/14/2012,787535,294077,2.677989
CHKR,CHKR,11/30/2012,871620,180522,4.828331
CHKR,CHKR,11/15/2012,870448,238721,3.646298
CHKR,CHKR,10/31/2012,846674,111676,7.581522
CHKR,CHKR,10/15/2012,865742,115478,7.497030
CHKR,CHKR,9/28/2012,961190,235922,4.074186
CHKR,CHKR,9/14/2012,1162690,240394,4.836602
CHKR,CHKR,8/31/2012,1268849,210461,6.028903
CHKR,CHKR,8/15/2012,1349834,231068,5.841718
CHKR,CHKR,7/31/2012,1251213,202670,6.173647
CHKR,CHKR,7/13/2012,1063051,261542,4.064552
CHKR,CHKR,6/29/2012,1092250,180174,6.062195
CHKR,CHKR,6/15/2012,883768,209611,4.216229
CHKR,CHKR,5/31/2012,849145,434838,1.952785
CHKR,CHKR,5/15/2012,729477,680776,1.071537
CHKR,CHKR,4/30/2012,342129,561997,1.000000
CHKR,CHKR,4/13/2012,204266,222748,1.000000
CHKR,CHKR,3/30/2012,165887,403335,1.000000
CHKR,CHKR,3/15/2012,155615,357087,1.000000
CHKR,CHKR,2/29/2012,151115,316616,1.000000
CHKR,CHKR,2/15/2012,197999,659089,1.000000
