filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CHMT,CHMT,1/31/2013,2042472,624626,3.269912
CHMT,CHMT,1/15/2013,2389630,625595,3.819772
CHMT,CHMT,12/31/2012,3147072,727475,4.326021
CHMT,CHMT,12/14/2012,3991509,747249,5.341605
CHMT,CHMT,11/30/2012,3994343,1265427,3.156518
CHMT,CHMT,11/15/2012,3453489,1034239,3.339160
CHMT,CHMT,10/31/2012,3253230,393492,8.267589
CHMT,CHMT,10/15/2012,3216317,412723,7.792919
CHMT,CHMT,9/28/2012,3059899,670302,4.564956
CHMT,CHMT,9/14/2012,3736408,694588,5.379316
CHMT,CHMT,8/31/2012,3824763,408113,9.371823
CHMT,CHMT,8/15/2012,3975135,835259,4.759165
CHMT,CHMT,7/31/2012,4210718,770324,5.466165
CHMT,CHMT,7/13/2012,4397262,505768,8.694227
CHMT,CHMT,6/29/2012,4528751,564129,8.027864
CHMT,CHMT,6/15/2012,4543213,709884,6.399937
CHMT,CHMT,5/31/2012,4404163,822216,5.356455
CHMT,CHMT,5/15/2012,3596845,819307,4.390107
CHMT,CHMT,4/30/2012,4334672,620450,6.986336
CHMT,CHMT,4/13/2012,4289425,873279,4.911861
CHMT,CHMT,3/30/2012,4059824,1301254,3.119932
CHMT,CHMT,3/15/2012,4166422,1115567,3.734802
CHMT,CHMT,2/29/2012,3486325,815284,4.276209
CHMT,CHMT,2/15/2012,3567920,658653,5.416995
