filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CHN,CHN,1/31/2013,363634,93679,3.881702
CHN,CHN,1/15/2013,534616,77914,6.861617
CHN,CHN,12/31/2012,522014,212717,2.454030
CHN,CHN,12/14/2012,524883,93339,5.623405
CHN,CHN,11/30/2012,503057,37620,13.372063
CHN,CHN,11/15/2012,508034,63038,8.059171
CHN,CHN,10/31/2012,494538,54033,9.152518
CHN,CHN,10/15/2012,493599,36653,13.466810
CHN,CHN,9/28/2012,515298,34888,14.770064
CHN,CHN,9/14/2012,532500,73769,7.218479
CHN,CHN,8/31/2012,495130,74259,6.667609
CHN,CHN,8/15/2012,490188,88375,5.546682
CHN,CHN,7/31/2012,542928,111987,4.848134
CHN,CHN,7/13/2012,282448,100908,2.799064
CHN,CHN,6/29/2012,112674,112241,1.003858
CHN,CHN,6/15/2012,31264,72672,1.000000
CHN,CHN,5/31/2012,24520,55110,1.000000
CHN,CHN,5/15/2012,12394,71433,1.000000
CHN,CHN,4/30/2012,22725,177958,1.000000
CHN,CHN,4/13/2012,63690,85895,1.000000
CHN,CHN,3/30/2012,11545,123370,1.000000
CHN,CHN,3/15/2012,12423,76593,1.000000
CHN,CHN,2/29/2012,17392,77310,1.000000
CHN,CHN,2/15/2012,26884,85696,1.000000
