filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CHYR,CHYR,1/31/2013,1451,23844,1.000000
CHYR,CHYR,1/15/2013,3910,27238,1.000000
CHYR,CHYR,12/31/2012,384,20086,1.000000
CHYR,CHYR,12/14/2012,4326,18652,1.000000
CHYR,CHYR,11/30/2012,3129,29128,1.000000
CHYR,CHYR,11/15/2012,1136,13662,1.000000
CHYR,CHYR,10/31/2012,415,4606,1.000000
CHYR,CHYR,10/15/2012,2053,10051,1.000000
CHYR,CHYR,9/28/2012,3998,8828,1.000000
CHYR,CHYR,9/14/2012,5445,6264,1.000000
CHYR,CHYR,8/31/2012,4827,3563,1.354757
CHYR,CHYR,8/15/2012,22332,9891,2.257810
CHYR,CHYR,7/31/2012,24960,17149,1.455478
CHYR,CHYR,7/13/2012,21700,10425,2.081535
CHYR,CHYR,6/29/2012,22333,12946,1.725089
CHYR,CHYR,6/15/2012,23088,9620,2.400000
CHYR,CHYR,5/31/2012,25805,9925,2.600000
CHYR,CHYR,5/15/2012,23624,5390,4.382931
CHYR,CHYR,4/30/2012,28645,10956,2.614549
CHYR,CHYR,4/13/2012,23406,5418,4.320044
CHYR,CHYR,3/30/2012,23251,8439,2.755184
CHYR,CHYR,3/15/2012,23190,3144,7.375954
CHYR,CHYR,2/29/2012,23118,3355,6.890611
CHYR,CHYR,2/15/2012,24041,13174,1.824882
