filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CLF,CLF,1/31/2013,26662478,6292235,4.237362
CLF,CLF,1/15/2013,25221585,7326903,3.442325
CLF,CLF,12/31/2012,24515234,8511868,2.880124
CLF,CLF,12/14/2012,26864599,8620331,3.116423
CLF,CLF,11/30/2012,28268645,8677269,3.257781
CLF,CLF,11/15/2012,28978529,7064028,4.102267
CLF,CLF,10/31/2012,27252784,9058328,3.008589
CLF,CLF,10/15/2012,29775248,7059942,4.217492
CLF,CLF,9/28/2012,27492897,9058150,3.035156
CLF,CLF,9/14/2012,23831046,12728454,1.872266
CLF,CLF,8/31/2012,21632541,5223866,4.141098
CLF,CLF,8/15/2012,15898346,4789869,3.319161
CLF,CLF,7/31/2012,14325206,5356305,2.674457
CLF,CLF,7/13/2012,10029538,2795259,3.588053
CLF,CLF,6/29/2012,9367742,3916359,2.391952
CLF,CLF,6/15/2012,10922281,3428362,3.185860
CLF,CLF,5/31/2012,10089810,4194612,2.405422
CLF,CLF,5/15/2012,8405403,3610388,2.328116
CLF,CLF,4/30/2012,9373222,4095139,2.288865
CLF,CLF,4/13/2012,10273392,3709341,2.769600
CLF,CLF,3/30/2012,10461191,4083136,2.562048
CLF,CLF,3/15/2012,8867607,4328983,2.048427
CLF,CLF,2/29/2012,7685030,3779753,2.033210
CLF,CLF,2/15/2012,6770132,2951289,2.293958
