filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CNH,CNH,1/31/2013,1648652,419459,3.930425
CNH,CNH,1/15/2013,1018512,569496,1.788445
CNH,CNH,12/31/2012,669402,640932,1.044420
CNH,CNH,12/14/2012,973464,880388,1.105722
CNH,CNH,11/30/2012,934002,1186765,1.000000
CNH,CNH,11/15/2012,896784,213046,4.209344
CNH,CNH,10/31/2012,778393,321102,2.424130
CNH,CNH,10/15/2012,939962,295390,3.182105
CNH,CNH,9/28/2012,1001230,366621,2.730967
CNH,CNH,9/14/2012,1029931,380872,2.704139
CNH,CNH,8/31/2012,1003099,232177,4.320406
CNH,CNH,8/15/2012,938240,327262,2.866938
CNH,CNH,7/31/2012,1056913,528289,2.000634
CNH,CNH,7/13/2012,1257780,559707,2.247211
CNH,CNH,6/29/2012,724394,427434,1.694751
CNH,CNH,6/15/2012,998700,410146,2.434987
CNH,CNH,5/31/2012,1253401,487915,2.568892
CNH,CNH,5/15/2012,1306747,646676,2.020714
CNH,CNH,4/30/2012,1222376,648576,1.884707
CNH,CNH,4/13/2012,763863,492641,1.550547
CNH,CNH,3/30/2012,570831,416791,1.369586
CNH,CNH,3/15/2012,573023,409682,1.398702
CNH,CNH,2/29/2012,691386,277668,2.489974
CNH,CNH,2/15/2012,769210,466759,1.647981
