filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
COSI,COSI,1/31/2013,1359804,190925,7.122189
COSI,COSI,1/15/2013,1355715,158505,8.553137
COSI,COSI,12/31/2012,1347935,131515,10.249287
COSI,COSI,12/14/2012,1339639,183650,7.294522
COSI,COSI,11/30/2012,1341533,276146,4.858057
COSI,COSI,11/15/2012,1352259,118984,11.365049
COSI,COSI,10/31/2012,1356961,147106,9.224376
COSI,COSI,10/15/2012,1368938,104454,13.105654
COSI,COSI,9/28/2012,1468791,204995,7.165009
COSI,COSI,9/14/2012,1373676,126829,10.830930
COSI,COSI,8/31/2012,1369344,179491,7.629040
COSI,COSI,8/15/2012,1380103,245074,5.631373
COSI,COSI,7/31/2012,2007310,173455,11.572512
COSI,COSI,7/13/2012,2284199,88818,25.717749
COSI,COSI,6/29/2012,2496344,110984,22.492828
COSI,COSI,6/15/2012,2527370,86973,29.059248
COSI,COSI,5/31/2012,2525759,136313,18.529113
COSI,COSI,5/15/2012,2452982,188079,13.042296
COSI,COSI,4/30/2012,1883491,268197,7.022789
COSI,COSI,4/13/2012,1220078,221578,5.506314
COSI,COSI,3/30/2012,1249927,352737,3.543510
COSI,COSI,3/15/2012,1237272,400881,3.086382
COSI,COSI,2/29/2012,1233004,188643,6.536177
COSI,COSI,2/15/2012,1232939,420904,2.929264
